"id","host_days","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_identity_verified","neighbourhood_cleansed","city","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy","reviews_per_month"
3342094,1754,1,1,1,1,0.693647055601596,1,"Jamaica Plain","Jamaica Plain (Boston)","Apartment","Entire home/apt",6,1,2,2,"Real Bed",5.01063529409626,1,1,2,35,0.693147180559945,97,10,10,10,10,10,9,0,0,0.54
5652147,2175,1,1,0,0,0.000999500333083423,1,"Jamaica Plain","Boston","House","Entire home/apt",7,2,3,4,"Real Bed",5.7037824746562,1,1,2,50,0.693147180559945,93,9,9,9,9,9,9,0,1,0.18
14105971,194,1,1,1,0,0.000999500333083423,0,"Jamaica Plain","Boston","Apartment","Entire home/apt",2,1,0,1,"Real Bed",4.77912349311153,0,1,1,0,0,100,10,10,10,10,10,10,0,0,8.67
2875267,983,1,1,1,1,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",2,1,0,1,"Real Bed",5.16478597392351,1,1,2,0,0.693147180559945,99,10,10,10,10,10,10,0,1,5.77
9485607,1847,1,1,1,1,0.000999500333083423,1,"Jamaica Plain","Boston","House","Entire home/apt",6,2,2,2,"Real Bed",5.27299955856375,1,1,3,25,1.38629436111989,96,10,10,10,10,10,10,1,0,2.81
7273770,1504,1,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","Condominium","Entire home/apt",4,1,2,2,"Real Bed",4.97673374242057,1,1,1,0,0.693147180559945,90,10,9,10,10,10,9,0,0,1.11
5405928,1934,0,1,0,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",4,1,2,2,"Real Bed",5.29831736654804,0,1,1,0,0.693147180559945,92,10,9,10,10,10,9,0,1,0.6
4586681,1034,0,1,0,0,0.000999500333083423,1,"Jamaica Plain","Boston","House","Private room",1,1,1,1,"Futon",4.49980967033027,1,0,1,0,0,99,10,10,10,10,10,10,0,1,2.45
1113272,1559,1,1,0,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",4,1,2,2,"Real Bed",5.34710753071747,0,1,4,50,0.693147180559945,94,10,10,10,10,9,9,0,1,1.25
12647606,2601,1,0,1,0,0.000999500333083423,0,"Jamaica Plain","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",4.31748811353631,0,1,1,15,0.693147180559945,100,10,10,10,10,10,10,0,1,1.94
10271867,372,1,1,0,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",3.8286413964891,0,1,1,0,0,90,10,8,10,10,9,9,0,1,0.4
7879708,1262,0,1,0,0,0.000999500333083423,1,"Jamaica Plain","Boston","Condominium","Private room",2,1,1,1,"Real Bed",4.31748811353631,0,0,1,0,0.693147180559945,100,10,10,10,10,10,10,0,1,1.08
3881993,1077,1,1,0,0,2.07956653386799,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",6,1,3,3,"Real Bed",6.21460809842219,1,1,6,0,0,89,9,8,9,9,9,8,1,1,0.33
12566065,256,0,0,0,0,0.000999500333083423,0,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.0943445622221,0,0,1,0,0.693147180559945,90,10,9,10,10,8,10,0,0,1.97
6602217,756,1,1,1,0,1.09894556645823,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",5,1,1,2,"Real Bed",4.86753445045558,1,1,1,0,0.693147180559945,90,9,9,10,10,9,9,1,1,4.25
3276286,957,1,1,0,0,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",6,1.5,2,3,"Real Bed",5.24702407216049,1,1,4,20,0.693147180559945,88,9,9,10,10,9,9,0,1,1.53
2014651,1721,1,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.60517018598809,0,0,1,0,0.693147180559945,91,9,9,10,10,9,9,0,1,0.72
6053700,628,0,0,1,0,0.000999500333083423,0,"Jamaica Plain","Jamaica Plain","House","Entire home/apt",6,3,3,6,"Real Bed",6.10924758276437,0,1,1,0,0,100,10,10,10,10,10,10,0,1,0.13
4405982,832,1,1,1,1,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",8,2,4,4,"Real Bed",5.98896141688986,1,1,4,0,0.693147180559945,99,10,10,10,10,10,10,0,0,0.8
250983,2876,1,1,1,1,1.60963789243677,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",5,1,2,2,"Real Bed",5.85793315448346,1,1,4,25,0,98,10,9,10,10,9,9,0,1,0.24
2308630,1390,1,1,0,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",4,1,2,2,"Real Bed",5.29831736654804,1,0,2,10,0.693147180559945,98,10,10,10,10,10,10,0,1,1.09
8272350,544,1,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.59511985013459,1,1,1,0,0.693147180559945,100,10,10,10,10,10,10,0,1,0.18
12368012,265,1,1,1,0,0.000999500333083423,0,"Jamaica Plain","Boston","House","Entire home/apt",6,2,3,4,"Real Bed",5.68697535633982,0,0,1,0,1.09861228866811,91.91666667,NA,NA,NA,10,10,NA,0,1,1.970908448
4098410,1077,1,1,0,0,2.07956653386799,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.67282883446191,1,1,2,30,0.693147180559945,81,9,8,9,9,8,8,0,1,0.84
6322283,875,0,0,0,0,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Private room",1,1,1,1,"Real Bed",4.23410650459726,0,1,1,0,0,96,10,10,10,10,10,10,0,1,1.16
7823025,1457,1,1,1,0,1.60963789243677,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.33073334028633,0,1,1,15,0,92,10,9,10,10,10,9,1,0,4.68
9549850,409,1,1,1,1,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",2,1,1,1,"Real Bed",4.31748811353631,0,1,1,25,0.693147180559945,95,10,9,10,10,10,10,0,1,6.15
7845607,541,0,0,0,0,0.000999500333083423,1,"Jamaica Plain","Boston","House","Private room",1,1,1,1,"Real Bed",4.00733318523247,0,1,1,25,0,78,9,6,9,9,9,8,0,1,0.74
14071446,891,1,1,1,0,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,2,"Real Bed",4.17438726989564,0,0,1,0,0,100,10,10,10,10,10,10,0,1,1.25
14218904,1346,0,1,0,0,0.693647055601596,1,"Jamaica Plain","Boston","Condominium","Private room",2,1.5,1,1,"Real Bed",4.07753744390572,1,1,1,10,0.693147180559945,91.91666667,NA,NA,NA,10,10,NA,0,1,0.91
11826815,892,1,1,1,1,1.09894556645823,1,"Jamaica Plain","Boston","House","Private room",2,1,1,1,"Real Bed",4.47733681447821,0,0,1,0,0.693147180559945,96,10,10,10,10,10,10,0,1,0.86
13334098,1932,1,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","House","Entire home/apt",5,2,4,3,"Real Bed",5.0998664278242,1,1,3,7,1.79175946922805,91.91666667,NA,NA,NA,10,10,NA,0,1,1.970908448
4765070,756,1,1,1,0,1.09894556645823,1,"Jamaica Plain","Jamaica Plain","House","Entire home/apt",2,1,0,1,"Real Bed",4.49980967033027,0,1,1,0,0.693147180559945,93,9,10,10,10,9,9,1,1,6.77
2880944,1420,0,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",4,2,2,2,"Real Bed",5.22035582507832,0,1,1,0,1.6094379124341,100,10,10,10,10,10,10,0,1,0.15
9532771,410,1,1,1,0,0.000999500333083423,0,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.38202663467388,0,0,1,0,0,91.91666667,NA,NA,NA,10,10,NA,0,1,1.970908448
10253591,615,1,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","House","Private room",2,1,1,1,"Real Bed",4.65396035015752,1,1,1,10,0.693147180559945,91,9,10,10,10,9,9,0,0,3.46
1881298,1754,1,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","House","Private room",2,1,1,1,"Real Bed",4.49980967033027,0,0,1,0,0,95,10,10,10,10,9,10,0,1,5.58
210097,1952,0,1,0,1,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",2,1,1,1,"Real Bed",4.60517018598809,1,1,2,0,1.09861228866811,97,10,10,10,10,10,10,0,0,1.9
6059968,1422,1,1,0,1,1.3865443298751,1,"Jamaica Plain","Boston","Apartment","Shared room",2,1,1,1,"Real Bed",4.60517018598809,1,1,1,20,0,98,10,10,10,10,9,10,0,0,0.6
6862758,565,1,1,0,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",5,1.5,2,3,"Real Bed",5.29831736654804,1,1,1,0,0.693147180559945,100,10,10,10,10,10,10,0,0,0.75
799701,1502,1,0,1,0,0.693647055601596,1,"Jamaica Plain","Jamaica Plain","Apartment","Entire home/apt",8,1.5,4,4,"Real Bed",5.7037824746562,1,1,6,25,1.38629436111989,100,10,10,9,10,9,9,0,0,0.05
6862594,1115,1,1,1,0,0.000999500333083423,0,"Jamaica Plain","Boston","House","Private room",2,1,1,1,"Real Bed",4.0943445622221,0,0,1,0,0,91.91666667,NA,NA,NA,10,10,NA,0,1,1.970908448
9057435,436,1,1,0,0,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",6,1,3,3,"Real Bed",5.76519110278484,0,1,6,25,0,100,10,10,10,10,10,10,0,1,0.63
750438,1532,1,1,1,1,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.44265125649032,0,1,1,0,0.693147180559945,96,10,9,10,10,10,9,0,1,2.29
